,date,time,ticket_number,article,Quantity,unit_price
65,2021-01-02,10:03,150058.0,CROISSANT,2.0,"1,10 €"
66,2021-01-02,10:03,150058.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
69,2021-01-02,10:04,150059.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
72,2021-01-02,10:05,150060.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
75,2021-01-02,10:12,150061.0,SPECIAL BREAD,1.0,"2,40 €"
76,2021-01-02,10:12,150061.0,COUPE,1.0,"0,15 €"
77,2021-01-02,10:12,150061.0,BOULE 200G,1.0,"1,10 €"
78,2021-01-02,10:12,150061.0,COUPE,1.0,"0,15 €"
81,2021-01-02,10:17,150062.0,SPECIAL BREAD,1.0,"2,40 €"
82,2021-01-02,10:17,150062.0,COUPE,3.0,"0,15 €"
83,2021-01-02,10:17,150062.0,BOULE 400G,2.0,"1,50 €"
86,2021-01-02,10:18,150063.0,COUPE,1.0,"0,15 €"
87,2021-01-02,10:18,150063.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
88,2021-01-02,10:18,150063.0,CAMPAGNE,1.0,"1,80 €"
89,2021-01-02,10:18,150063.0,COUPE,1.0,"0,15 €"
90,2021-01-02,10:18,150063.0,MOISSON,1.0,"2,00 €"
91,2021-01-02,10:18,150063.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
94,2021-01-02,10:22,150064.0,SAND JB EMMENTAL,1.0,"3,50 €"
97,2021-01-02,10:22,150065.0,SAND JB EMMENTAL,1.0,"3,50 €"
98,2021-01-02,10:22,150065.0,CAFE OU EAU,2.0,"1,00 €"
101,2021-01-02,10:24,150066.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
102,2021-01-02,10:24,150066.0,BAGUETTE,1.0,"0,90 €"
103,2021-01-02,10:24,150066.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
104,2021-01-02,10:24,150066.0,CROISSANT,2.0,"1,10 €"
107,2021-01-02,10:24,150067.0,CROISSANT,2.0,"1,10 €"
108,2021-01-02,10:24,150067.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
111,2021-01-02,10:25,150068.0,BANETTINE,2.0,"0,60 €"
114,2021-01-02,10:29,150069.0,BANETTE,1.0,"1,05 €"
115,2021-01-02,10:29,150069.0,KOUIGN AMANN,2.0,"2,10 €"
116,2021-01-02,10:29,150069.0,BRIOCHE,1.0,"5,00 €"
117,2021-01-02,10:29,150069.0,CEREAL BAGUETTE,2.0,"1,25 €"
120,2021-01-02,10:33,150070.0,CROISSANT,2.0,"1,10 €"
121,2021-01-02,10:33,150070.0,BANETTE,1.0,"1,05 €"
122,2021-01-02,10:33,150070.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
125,2021-01-02,10:34,150071.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
126,2021-01-02,10:34,150071.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
127,2021-01-02,10:34,150071.0,CROISSANT,2.0,"1,10 €"
130,2021-01-02,10:39,150072.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
133,2021-01-02,10:40,150073.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
136,2021-01-02,10:42,150074.0,BANETTINE,1.0,"0,60 €"
139,2021-01-02,10:44,150075.0,COUPE,1.0,"0,15 €"
140,2021-01-02,10:44,150075.0,SEIGLE,1.0,"1,80 €"
143,2021-01-02,10:46,150076.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
146,2021-01-02,10:49,150077.0,COMPLET,1.0,"1,50 €"
147,2021-01-02,10:49,150077.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
148,2021-01-02,10:49,150077.0,CROISSANT,2.0,"1,10 €"
151,2021-01-02,10:50,150078.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
152,2021-01-02,10:50,150078.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
155,2021-01-02,10:51,150079.0,BAGUETTE,1.0,"0,90 €"
156,2021-01-02,10:51,150079.0,DIVERS PATISSERIE,1.0,"0,00 €"
157,2021-01-02,10:51,150079.0,SPECIAL BREAD,1.0,"2,40 €"
158,2021-01-02,10:51,150079.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
161,2021-01-02,10:53,150080.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
162,2021-01-02,10:53,150080.0,CROISSANT,3.0,"1,10 €"
165,2021-01-02,10:54,150081.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
168,2021-01-02,10:54,150082.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
171,2021-01-02,10:54,150083.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
174,2021-01-02,10:55,150084.0,CEREAL BAGUETTE,1.0,"1,25 €"
175,2021-01-02,10:55,150084.0,COOKIE,1.0,"1,00 €"
176,2021-01-02,10:55,150084.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
177,2021-01-02,10:55,150084.0,CROISSANT,4.0,"1,10 €"
180,2021-01-02,10:56,150085.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
183,2021-01-02,10:57,150086.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
184,2021-01-02,10:57,150086.0,CEREAL BAGUETTE,1.0,"1,25 €"
185,2021-01-02,10:57,150086.0,CROISSANT,2.0,"1,10 €"
188,2021-01-02,10:58,150087.0,BAGUETTE,2.0,"0,90 €"
191,2021-01-02,11:04,150088.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
194,2021-01-02,11:06,150089.0,BAGUETTE,1.0,"0,90 €"
197,2021-01-02,11:08,150090.0,CAFE OU EAU,1.0,"1,00 €"
198,2021-01-02,11:08,150090.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
199,2021-01-02,11:08,150090.0,CROISSANT,1.0,"1,10 €"
200,2021-01-02,11:08,150090.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
203,2021-01-02,11:13,150091.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
204,2021-01-02,11:13,150091.0,BRIOCHE,1.0,"5,00 €"
205,2021-01-02,11:13,150091.0,SEIGLE,1.0,"1,80 €"
206,2021-01-02,11:13,150091.0,COMPLET,1.0,"1,50 €"
209,2021-01-02,11:14,150092.0,BAGUETTE,2.0,"0,90 €"
210,2021-01-02,11:14,150092.0,CROISSANT,6.0,"1,10 €"
213,2021-01-02,11:14,150093.0,FICELLE,1.0,"0,60 €"
214,2021-01-02,11:14,150093.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
217,2021-01-02,11:15,150094.0,BANETTE,5.0,"1,05 €"
220,2021-01-02,11:16,150095.0,CROISSANT,2.0,"1,10 €"
221,2021-01-02,11:16,150095.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
222,2021-01-02,11:16,150095.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
223,2021-01-02,11:16,150095.0,PAIN AUX RAISINS,1.0,"1,40 €"
226,2021-01-02,11:17,150096.0,PAIN AUX RAISINS,1.0,"1,40 €"
227,2021-01-02,11:17,150096.0,CROISSANT,1.0,"1,10 €"
228,2021-01-02,11:17,150096.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
231,2021-01-02,11:18,150097.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
234,2021-01-02,11:19,150098.0,CROISSANT,1.0,"1,10 €"
235,2021-01-02,11:19,150098.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
236,2021-01-02,11:19,150098.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
237,2021-01-02,11:19,150098.0,FICELLE,1.0,"0,60 €"
240,2021-01-02,11:19,150099.0,BANETTE,1.0,"1,05 €"
243,2021-01-02,11:20,150100.0,SPECIAL BREAD,1.0,"2,40 €"
244,2021-01-02,11:20,150100.0,COUPE,1.0,"0,15 €"
247,2021-01-02,11:22,150101.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
248,2021-01-02,11:22,150101.0,CROISSANT,3.0,"1,10 €"
249,2021-01-02,11:22,150101.0,SPECIAL BREAD,1.0,"2,40 €"
250,2021-01-02,11:22,150101.0,COUPE,1.0,"0,15 €"
251,2021-01-02,11:22,150101.0,GAL POMME 6P,1.0,"12,00 €"
254,2021-01-02,11:22,150102.0,BAGUETTE,1.0,"0,90 €"
257,2021-01-02,11:23,150103.0,BANETTE,2.0,"1,05 €"
258,2021-01-02,11:23,150103.0,GAL POMME 4P,1.0,"8,00 €"
261,2021-01-02,11:24,150104.0,COOKIE,4.0,"1,00 €"
264,2021-01-02,11:25,150105.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
265,2021-01-02,11:25,150105.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
266,2021-01-02,11:25,150105.0,BANETTE,1.0,"1,05 €"
269,2021-01-02,11:26,150106.0,FINANCIER X5,1.0,"3,00 €"
270,2021-01-02,11:26,150106.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
273,2021-01-02,11:29,150107.0,BAGUETTE,2.0,"0,90 €"
276,2021-01-02,11:30,150108.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
279,2021-01-02,11:30,150109.0,COUPE,2.0,"0,15 €"
280,2021-01-02,11:30,150109.0,SEIGLE,1.0,"1,80 €"
281,2021-01-02,11:30,150109.0,CEREAL BAGUETTE,3.0,"1,25 €"
282,2021-01-02,11:30,150109.0,VIK BREAD,2.0,"2,50 €"
285,2021-01-02,11:33,150110.0,COUPE,1.0,"0,15 €"
286,2021-01-02,11:33,150110.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
287,2021-01-02,11:33,150110.0,MOISSON,1.0,"2,00 €"
288,2021-01-02,11:33,150110.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
291,2021-01-02,11:34,150111.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
294,2021-01-02,11:34,150112.0,BAGUETTE,2.0,"0,90 €"
295,2021-01-02,11:34,150112.0,GAL POMME 6P,1.0,"12,00 €"
296,2021-01-02,11:34,150112.0,BANETTE,1.0,"1,05 €"
299,2021-01-02,11:44,150113.0,DIVERS VIENNOISERIE,1.0,"4,00 €"
300,2021-01-02,11:44,150113.0,SAND JB EMMENTAL,5.0,"3,50 €"
303,2021-01-02,11:45,150114.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
306,2021-01-02,11:45,150115.0,BANETTE,2.0,"1,05 €"
309,2021-01-02,11:45,150116.0,BAGUETTE,4.0,"0,90 €"
312,2021-01-02,11:46,150117.0,SPECIAL BREAD,1.0,"2,40 €"
313,2021-01-02,11:46,150117.0,BAGUETTE,1.0,"0,90 €"
316,2021-01-02,11:46,150118.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
319,2021-01-02,11:48,150119.0,BOULE 400G,2.0,"1,50 €"
320,2021-01-02,11:48,150119.0,PAIN AUX RAISINS,2.0,"1,40 €"
321,2021-01-02,11:48,150119.0,CROISSANT,2.0,"1,10 €"
322,2021-01-02,11:48,150119.0,COUPE,2.0,"0,15 €"
323,2021-01-02,11:48,150119.0,GAL POMME 4P,1.0,"8,00 €"
326,2021-01-02,11:49,150120.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
329,2021-01-02,11:49,150121.0,BANETTE,2.0,"1,05 €"
332,2021-01-02,11:50,150122.0,VIK BREAD,1.0,"2,50 €"
333,2021-01-02,11:50,150122.0,GACHE,1.0,"5,00 €"
334,2021-01-02,11:50,150122.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
335,2021-01-02,11:50,150122.0,SEIGLE,1.0,"1,80 €"
338,2021-01-02,11:51,150123.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
341,2021-01-02,11:51,150124.0,BAGUETTE,1.0,"0,90 €"
344,2021-01-02,11:52,150125.0,COMPLET,2.0,"1,50 €"
345,2021-01-02,11:52,150125.0,COUPE,2.0,"0,15 €"
348,2021-01-02,11:53,150126.0,BANETTE,1.0,"1,05 €"
351,2021-01-02,11:53,150127.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
354,2021-01-02,11:54,150128.0,BAGUETTE,1.0,"0,90 €"
357,2021-01-02,11:58,150129.0,BANETTE,2.0,"1,05 €"
360,2021-01-02,11:59,150130.0,BANETTE,1.0,"1,05 €"
363,2021-01-02,12:00,150131.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
366,2021-01-02,12:01,150132.0,PAIN AU CHOCOLAT,4.0,"1,20 €"
367,2021-01-02,12:01,150132.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
370,2021-01-02,12:03,150133.0,COUPE,1.0,"0,15 €"
371,2021-01-02,12:03,150133.0,BANETTINE,1.0,"0,60 €"
372,2021-01-02,12:03,150133.0,MOISSON,1.0,"2,00 €"
375,2021-01-02,12:03,150134.0,BANETTE,1.0,"1,05 €"
378,2021-01-02,12:08,150135.0,SANDWICH COMPLET,2.0,"4,50 €"
379,2021-01-02,12:08,150135.0,CAFE OU EAU,3.0,"1,00 €"
382,2021-01-02,12:09,150136.0,PAIN BANETTE,2.0,"1,40 €"
385,2021-01-02,12:09,150137.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
388,2021-01-02,12:10,150138.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
389,2021-01-02,12:10,150138.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
392,2021-01-02,12:11,150139.0,BANETTE,2.0,"1,05 €"
393,2021-01-02,12:11,150139.0,GRAND FAR BRETON,1.0,"7,00 €"
396,2021-01-02,12:12,150140.0,COUPE,1.0,"0,15 €"
397,2021-01-02,12:12,150140.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
398,2021-01-02,12:12,150140.0,CAMPAGNE,1.0,"1,80 €"
401,2021-01-02,12:12,150141.0,BAGUETTE,1.0,"0,90 €"
404,2021-01-02,12:13,150142.0,BAGUETTE,1.0,"0,90 €"
407,2021-01-02,12:13,150143.0,GRAND FAR BRETON,1.0,"7,00 €"
410,2021-01-02,12:15,150144.0,SPECIAL BREAD,1.0,"2,40 €"
411,2021-01-02,12:15,150144.0,COUPE,1.0,"0,15 €"
414,2021-01-02,12:16,150145.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
417,2021-01-02,12:18,150146.0,COUPE,1.0,"0,15 €"
418,2021-01-02,12:18,150146.0,BOULE 400G,1.0,"1,50 €"
421,2021-01-02,12:19,150147.0,GAL FRANGIPANE 4P,2.0,"8,00 €"
422,2021-01-02,12:19,150147.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
425,2021-01-02,12:20,150148.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
426,2021-01-02,12:20,150148.0,BAGUETTE,2.0,"0,90 €"
429,2021-01-02,12:21,150149.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
432,2021-01-02,12:21,150150.0,BAGUETTE,1.0,"0,90 €"
435,2021-01-02,12:21,150151.0,BAGUETTE,4.0,"0,90 €"
438,2021-01-02,12:22,150152.0,BAGUETTE,2.0,"0,90 €"
441,2021-01-02,12:22,150153.0,COMPLET,1.0,"1,50 €"
442,2021-01-02,12:22,150153.0,COUPE,1.0,"0,15 €"
445,2021-01-02,12:23,150154.0,COMPLET,1.0,"1,50 €"
446,2021-01-02,12:23,150154.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
447,2021-01-02,12:23,150154.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
450,2021-01-02,12:23,150155.0,BAGUETTE,1.0,"0,90 €"
451,2021-01-02,12:23,150155.0,GRAND FAR BRETON,1.0,"7,00 €"
454,2021-01-02,12:24,150156.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
457,2021-01-02,12:25,150157.0,PAIN AU CHOCOLAT,1.0,"1,20 €"
460,2021-01-02,12:25,150158.0,BAGUETTE,2.0,"0,90 €"
461,2021-01-02,12:25,150158.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
464,2021-01-02,12:28,150159.0,COUPE,1.0,"0,15 €"
465,2021-01-02,12:28,150159.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
466,2021-01-02,12:28,150159.0,MOISSON,1.0,"2,00 €"
467,2021-01-02,12:28,150159.0,COUPE,1.0,"0,15 €"
468,2021-01-02,12:28,150159.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
469,2021-01-02,12:28,150159.0,FICELLE,2.0,"0,60 €"
472,2021-01-02,12:29,150160.0,CEREAL BAGUETTE,1.0,"1,25 €"
475,2021-01-02,12:29,150161.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
478,2021-01-02,12:32,150162.0,COUPE,5.0,"0,15 €"
479,2021-01-02,12:32,150162.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
480,2021-01-02,12:32,150162.0,MOISSON,3.0,"2,00 €"
481,2021-01-02,12:32,150162.0,VIK BREAD,2.0,"2,50 €"
482,2021-01-02,12:32,150162.0,PAIN AUX RAISINS,2.0,"1,40 €"
485,2021-01-02,12:33,150163.0,BOULE 400G,1.0,"1,50 €"
486,2021-01-02,12:33,150163.0,COUPE,1.0,"0,15 €"
489,2021-01-02,12:34,150164.0,DIVERS VIENNOISERIE,1.0,"6,00 €"
490,2021-01-02,12:34,150164.0,BAGUETTE,1.0,"0,90 €"
491,2021-01-02,12:34,150164.0,GAL POMME 6P,1.0,"12,00 €"
494,2021-01-02,12:36,150165.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
495,2021-01-02,12:36,150165.0,QUIM BREAD,1.0,"1,00 €"
496,2021-01-02,12:36,150165.0,COOKIE,2.0,"1,00 €"
497,2021-01-02,12:36,150165.0,BANETTE,2.0,"1,05 €"
500,2021-01-02,12:36,150166.0,BANETTE,1.0,"1,05 €"
503,2021-01-02,12:37,150167.0,COUPE,1.0,"0,15 €"
504,2021-01-02,12:37,150167.0,SPECIAL BREAD KG,1.0,"4,80 €"
507,2021-01-02,12:38,150168.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
510,2021-01-02,12:38,150169.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
513,2021-01-02,12:39,150170.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
516,2021-01-02,12:39,150171.0,BANETTE,2.0,"1,05 €"
519,2021-01-02,12:39,150172.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
522,2021-01-02,12:40,150173.0,BOULE 400G,1.0,"1,50 €"
523,2021-01-02,12:40,150173.0,GD KOUIGN AMANN,1.0,"7,50 €"
524,2021-01-02,12:40,150173.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
525,2021-01-02,12:40,150173.0,CEREAL BAGUETTE,1.0,"1,25 €"
526,2021-01-02,12:40,150173.0,BOULE POLKA,1.0,"1,60 €"
529,2021-01-02,12:41,150174.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
532,2021-01-02,12:42,150175.0,COOKIE,1.0,"1,00 €"
533,2021-01-02,12:42,150175.0,KOUIGN AMANN,1.0,"2,10 €"
536,2021-01-02,12:42,150176.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
539,2021-01-02,12:43,150177.0,COUPE,1.0,"0,15 €"
540,2021-01-02,12:43,150177.0,MOISSON,1.0,"2,00 €"
541,2021-01-02,12:43,150177.0,CEREAL BAGUETTE,1.0,"1,25 €"
544,2021-01-02,12:43,150178.0,BANETTE,1.0,"1,05 €"
547,2021-01-02,12:44,150179.0,GAL FRANGIPANE 4P,1.0,"8,00 €"
548,2021-01-02,12:44,150179.0,BANETTE,2.0,"1,05 €"
551,2021-01-02,12:45,150180.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
554,2021-01-02,12:45,150181.0,BAGUETTE,1.0,"0,90 €"
557,2021-01-02,12:46,150182.0,PAIN,1.0,"1,15 €"
558,2021-01-02,12:46,150182.0,PAIN BANETTE,1.0,"1,40 €"
561,2021-01-02,12:47,150183.0,BANETTE,1.0,"1,05 €"
564,2021-01-02,12:48,150184.0,COUPE,1.0,"0,15 €"
565,2021-01-02,12:48,150184.0,VIK BREAD,1.0,"2,50 €"
566,2021-01-02,12:48,150184.0,GAL POMME 4P,1.0,"8,00 €"
569,2021-01-02,12:50,150185.0,GAL POMME 4P,1.0,"8,00 €"
570,2021-01-02,12:50,150185.0,BANETTE,2.0,"1,05 €"
573,2021-01-02,12:50,150186.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
576,2021-01-02,12:51,150187.0,GAL POMME 4P,1.0,"8,00 €"
577,2021-01-02,12:51,150187.0,CEREAL BAGUETTE,6.0,"1,25 €"
580,2021-01-02,12:53,150188.0,GAL POMME 6P,1.0,"12,00 €"
581,2021-01-02,12:53,150188.0,GAL FRANGIPANE 6P,1.0,"12,00 €"
584,2021-01-02,12:54,150189.0,PAIN BANETTE,1.0,"1,40 €"
585,2021-01-02,12:54,150189.0,BANETTE,1.0,"1,05 €"
586,2021-01-02,12:54,150189.0,CROISSANT,3.0,"1,10 €"
587,2021-01-02,12:54,150189.0,PAIN AU CHOCOLAT,3.0,"1,20 €"
590,2021-01-02,12:55,150190.0,GAL POMME 4P,1.0,"8,00 €"
591,2021-01-02,12:55,150190.0,BAGUETTE,2.0,"0,90 €"
594,2021-01-02,12:55,150191.0,BAGUETTE,1.0,"0,90 €"
595,2021-01-02,12:55,150191.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
596,2021-01-02,12:55,150191.0,BANETTE,1.0,"1,05 €"
599,2021-01-02,12:56,150192.0,BOULE POLKA,1.0,"1,60 €"
602,2021-01-02,12:57,150193.0,VIK BREAD,1.0,"2,50 €"
603,2021-01-02,12:57,150193.0,COUPE,1.0,"0,15 €"
604,2021-01-02,12:57,150193.0,CEREAL BAGUETTE,1.0,"1,25 €"
607,2021-01-02,12:58,150194.0,GRAND FAR BRETON,1.0,"7,00 €"
608,2021-01-02,12:58,150194.0,BAGUETTE,1.0,"0,90 €"
611,2021-01-02,12:58,150195.0,CEREAL BAGUETTE,2.0,"1,25 €"
614,2021-01-02,12:59,150196.0,GAL POMME 4P,1.0,"8,00 €"
615,2021-01-02,12:59,150196.0,CAMPAGNE,1.0,"1,80 €"
618,2021-01-02,13:00,150197.0,BAGUETTE,2.0,"0,90 €"
621,2021-01-02,13:01,150198.0,BAGUETTE,2.0,"0,90 €"
624,2021-01-02,13:03,150199.0,BOULE 400G,1.0,"1,50 €"
625,2021-01-02,13:03,150199.0,KOUIGN AMANN,2.0,"2,10 €"
626,2021-01-02,13:03,150199.0,COUPE,1.0,"0,15 €"
629,2021-01-02,13:05,150200.0,COUPE,1.0,"0,15 €"
630,2021-01-02,13:05,150200.0,COMPLET,1.0,"1,50 €"
633,2021-01-02,13:06,150201.0,PAIN BANETTE,2.0,"1,40 €"
636,2021-01-02,13:07,150202.0,COUPE,1.0,"0,15 €"
637,2021-01-02,13:07,150202.0,FICELLE,1.0,"0,60 €"
638,2021-01-02,13:07,150202.0,BANETTINE,1.0,"0,60 €"
639,2021-01-02,13:07,150202.0,VIK BREAD,1.0,"2,50 €"
642,2021-01-02,13:09,150203.0,BOULE 200G,1.0,"1,10 €"
643,2021-01-02,13:09,150203.0,COUPE,1.0,"0,15 €"
646,2021-01-02,13:10,150204.0,GRAND FAR BRETON,2.0,"7,00 €"
649,2021-01-02,13:14,150205.0,CAMPAGNE,1.0,"1,80 €"
650,2021-01-02,13:14,150205.0,COUPE,1.0,"0,15 €"
653,2021-01-02,13:17,150206.0,COUPE,1.0,"0,15 €"
654,2021-01-02,13:17,150206.0,MOISSON,1.0,"2,00 €"
655,2021-01-02,13:17,150206.0,COUPE,1.0,"0,15 €"
656,2021-01-02,13:17,150206.0,CAMPAGNE,1.0,"1,80 €"
657,2021-01-02,13:17,150206.0,GD KOUIGN AMANN,1.0,"7,50 €"
660,2021-01-02,13:19,150207.0,COUPE,1.0,"0,15 €"
661,2021-01-02,13:19,150207.0,BOULE 200G,1.0,"1,10 €"
664,2021-01-02,13:19,150208.0,BOULE 200G,1.0,"1,10 €"
665,2021-01-02,13:19,150208.0,COUPE,1.0,"0,15 €"
668,2021-01-02,13:21,150209.0,COUPE,1.0,"0,15 €"
669,2021-01-02,13:21,150209.0,BOULE 400G,1.0,"1,50 €"
672,2021-01-02,13:22,150210.0,COUPE,1.0,"0,15 €"
673,2021-01-02,13:22,150210.0,CAMPAGNE,1.0,"1,80 €"
676,2021-01-02,13:24,150211.0,GAL POMME 4P,1.0,"8,00 €"
677,2021-01-02,13:24,150211.0,CAMPAGNE,1.0,"1,80 €"
678,2021-01-02,13:24,150211.0,COUPE,1.0,"0,15 €"
681,2021-01-02,13:25,150212.0,MOISSON,1.0,"2,00 €"
682,2021-01-02,13:25,150212.0,COUPE,1.0,"0,15 €"
685,2021-01-02,13:25,150213.0,GAL POMME 4P,1.0,"8,00 €"
688,2021-01-02,13:28,150214.0,BOULE 200G,1.0,"1,10 €"
689,2021-01-02,13:28,150214.0,SEIGLE,1.0,"1,80 €"
692,2021-01-02,13:30,150215.0,DEMI BAGUETTE,1.0,"0,45 €"
695,2021-01-02,13:33,150216.0,COUPE,1.0,"0,15 €"
696,2021-01-02,13:33,150216.0,BOULE 200G,1.0,"1,10 €"
699,2021-01-02,13:36,150217.0,BOULE 400G,1.0,"1,50 €"
702,2021-01-02,13:39,150218.0,COUPE,1.0,"0,15 €"
703,2021-01-02,13:39,150218.0,CAMPAGNE,1.0,"1,80 €"
