forecast_line_id,forecast_date,outlet_id,outlet_name,outlet_type,sku_id,sku_name,sku_category,daypart,predicted_p10_rounded,predicted_p50_rounded,predicted_p90_rounded,recommended_prep_qty,decision_posture,recommended_expected_cost,recommended_expected_waste_units,recommended_expected_stockout_units,cost_saving_vs_p50_prep,cost_saving_vs_p90_prep,weather_condition,rain_mm,temperature,reason_tags_text,decision_explanation,model_version,selected_model_name
fcst_011,2022-10-01,bangsar_street,Bangsar Street,street_cafe,butter_croissant,Butter Croissant,Pastry,midday,2,6,13,10,above_p50_service_protection,17.425,4.0,0.75,0.0,10.625,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Butter Croissant at Bangsar Street during midday, forecast demand range is 2–13 units with median 6. Recommended prep is 10 units. Expected waste is about 4.0 units and expected stockout is about 0.8 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_012,2022-10-01,bangsar_street,Bangsar Street,street_cafe,butter_croissant,Butter Croissant,Pastry,morning,7,30,41,30,near_p50_balanced,33.575,5.75,2.75,0.0,27.625000000000007,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Butter Croissant at Bangsar Street during morning, forecast demand range is 7–41 units with median 30. Recommended prep is 30 units. Expected waste is about 5.8 units and expected stockout is about 2.8 units. The optimizer recommends staying close to the median forecast because the waste and stockout tradeoff is balanced.",lightgbm_p50_v1,tweedie_count
fcst_013,2022-10-01,bangsar_street,Bangsar Street,street_cafe,cake_slice,Cake Slice,Dessert,evening,3,5,15,4,below_p50_cost_control,21.525,0.25,3.25,1.0500000000000043,16.275,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,recent_waste_pressure,high_uncertainty","For Cake Slice at Bangsar Street during evening, forecast demand range is 3–15 units with median 5. Recommended prep is 4 units. Expected waste is about 0.2 units and expected stockout is about 3.2 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_014,2022-10-01,bangsar_street,Bangsar Street,street_cafe,cake_slice,Cake Slice,Dessert,midday,2,9,15,8,below_p50_cost_control,20.475,1.5,2.25,1.0499999999999972,9.975000000000001,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,high_uncertainty","For Cake Slice at Bangsar Street during midday, forecast demand range is 2–15 units with median 9. Recommended prep is 8 units. Expected waste is about 1.5 units and expected stockout is about 2.2 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_015,2022-10-01,bangsar_street,Bangsar Street,street_cafe,cake_slice,Cake Slice,Dessert,morning,1,6,13,8,above_p50_service_protection,19.425,2.75,1.25,0.0,20.474999999999998,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Cake Slice at Bangsar Street during morning, forecast demand range is 1–13 units with median 6. Recommended prep is 8 units. Expected waste is about 2.8 units and expected stockout is about 1.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_016,2022-10-01,bangsar_street,Bangsar Street,street_cafe,chocolate_cookie,Chocolate Cookie,Dessert,evening,0,0,2,0,conservative_low_prep,1.5,0.0,0.5,0.0,21.5,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Chocolate Cookie at Bangsar Street during evening, forecast demand range is 0–2 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.5 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_017,2022-10-01,bangsar_street,Bangsar Street,street_cafe,chocolate_cookie,Chocolate Cookie,Dessert,midday,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Chocolate Cookie at Bangsar Street during midday, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_018,2022-10-01,bangsar_street,Bangsar Street,street_cafe,chocolate_cookie,Chocolate Cookie,Dessert,morning,0,0,1,0,conservative_low_prep,0.75,0.0,0.25,0.0,22.75,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Chocolate Cookie at Bangsar Street during morning, forecast demand range is 0–1 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.2 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_019,2022-10-01,bangsar_street,Bangsar Street,street_cafe,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,evening,0,2,8,6,above_p50_service_protection,11.05,3.5,0.5,0.0,12.350000000000001,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure","For Coffee Bun / Sweet Bun at Bangsar Street during evening, forecast demand range is 0–8 units with median 2. Recommended prep is 6 units. Expected waste is about 3.5 units and expected stockout is about 0.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_020,2022-10-01,bangsar_street,Bangsar Street,street_cafe,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,midday,0,5,8,6,above_p50_service_protection,7.15,2.0,0.5,0.0,12.35,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Coffee Bun / Sweet Bun at Bangsar Street during midday, forecast demand range is 0–8 units with median 5. Recommended prep is 6 units. Expected waste is about 2.0 units and expected stockout is about 0.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_021,2022-10-01,bangsar_street,Bangsar Street,street_cafe,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,morning,0,4,7,6,above_p50_service_protection,7.475,2.5,0.25,0.0,13.975000000000003,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure","For Coffee Bun / Sweet Bun at Bangsar Street during morning, forecast demand range is 0–7 units with median 4. Recommended prep is 6 units. Expected waste is about 2.5 units and expected stockout is about 0.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_022,2022-10-01,bangsar_street,Bangsar Street,street_cafe,country_sourdough,Country Sourdough,Bread,evening,8,13,30,15,above_p50_service_protection,40.2,2.75,3.75,0.0,27.000000000000014,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Country Sourdough at Bangsar Street during evening, forecast demand range is 8–30 units with median 13. Recommended prep is 15 units. Expected waste is about 2.8 units and expected stockout is about 3.8 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_023,2022-10-01,bangsar_street,Bangsar Street,street_cafe,country_sourdough,Country Sourdough,Bread,midday,9,17,26,20,above_p50_service_protection,31.200000000000003,4.25,1.5,0.0,30.0,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,recent_waste_pressure,high_uncertainty","For Country Sourdough at Bangsar Street during midday, forecast demand range is 9–26 units with median 17. Recommended prep is 20 units. Expected waste is about 4.2 units and expected stockout is about 1.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_024,2022-10-01,bangsar_street,Bangsar Street,street_cafe,country_sourdough,Country Sourdough,Bread,morning,9,15,24,15,near_p50_balanced,23.4,1.5,2.25,0.0,21.000000000000007,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Country Sourdough at Bangsar Street during morning, forecast demand range is 9–24 units with median 15. Recommended prep is 15 units. Expected waste is about 1.5 units and expected stockout is about 2.2 units. The optimizer recommends staying close to the median forecast because the waste and stockout tradeoff is balanced.",lightgbm_p50_v1,tweedie_count
fcst_025,2022-10-01,bangsar_street,Bangsar Street,street_cafe,fruit_tart,Fruit Tart,Dessert,evening,1,2,9,4,above_p50_service_protection,13.774999999999999,1.75,1.25,0.0,18.525000000000006,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,recent_waste_pressure","For Fruit Tart at Bangsar Street during evening, forecast demand range is 1–9 units with median 2. Recommended prep is 4 units. Expected waste is about 1.8 units and expected stockout is about 1.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_026,2022-10-01,bangsar_street,Bangsar Street,street_cafe,fruit_tart,Fruit Tart,Dessert,midday,0,5,9,4,below_p50_cost_control,13.774999999999999,1.0,1.75,0.9500000000000028,13.775000000000006,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Fruit Tart at Bangsar Street during midday, forecast demand range is 0–9 units with median 5. Recommended prep is 4 units. Expected waste is about 1.0 units and expected stockout is about 1.8 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_027,2022-10-01,bangsar_street,Bangsar Street,street_cafe,fruit_tart,Fruit Tart,Dessert,morning,1,2,5,4,above_p50_service_protection,8.075,1.75,0.25,0.0,12.825000000000003,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure","For Fruit Tart at Bangsar Street during morning, forecast demand range is 1–5 units with median 2. Recommended prep is 4 units. Expected waste is about 1.8 units and expected stockout is about 0.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_028,2022-10-01,bangsar_street,Bangsar Street,street_cafe,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure","For Ham & Cheese Sandwich at Bangsar Street during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_029,2022-10-01,bangsar_street,Bangsar Street,street_cafe,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,midday,8,13,20,12,below_p50_cost_control,25.65,1.0,2.5,1.3500000000000014,9.45000000000001,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Ham & Cheese Sandwich at Bangsar Street during midday, forecast demand range is 8–20 units with median 13. Recommended prep is 12 units. Expected waste is about 1.0 units and expected stockout is about 2.5 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_030,2022-10-01,bangsar_street,Bangsar Street,street_cafe,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,morning,0,2,6,4,above_p50_service_protection,14.850000000000001,2.0,0.5,0.0,14.850000000000001,light_rain,3.4,28.2,weekend_pattern,"For Ham & Cheese Sandwich at Bangsar Street during morning, forecast demand range is 0–6 units with median 2. Recommended prep is 4 units. Expected waste is about 2.0 units and expected stockout is about 0.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_031,2022-10-01,bangsar_street,Bangsar Street,street_cafe,pain_au_chocolat,Pain au Chocolat,Pastry,evening,7,10,25,10,near_p50_balanced,22.44,0.75,3.75,0.0,19.8,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Pain au Chocolat at Bangsar Street during evening, forecast demand range is 7–25 units with median 10. Recommended prep is 10 units. Expected waste is about 0.8 units and expected stockout is about 3.8 units. The optimizer recommends staying close to the median forecast because the waste and stockout tradeoff is balanced.",lightgbm_p50_v1,tweedie_count
fcst_032,2022-10-01,bangsar_street,Bangsar Street,street_cafe,pain_au_chocolat,Pain au Chocolat,Pastry,midday,0,4,10,10,high_service_p90_prep,19.360000000000003,5.5,0.0,0.0,0.0,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Pain au Chocolat at Bangsar Street during midday, forecast demand range is 0–10 units with median 4. Recommended prep is 10 units. Expected waste is about 5.5 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_033,2022-10-01,bangsar_street,Bangsar Street,street_cafe,pain_au_chocolat,Pain au Chocolat,Pastry,morning,4,22,35,25,above_p50_service_protection,36.96000000000001,6.75,2.5,0.0,13.200000000000003,light_rain,3.4,28.2,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Pain au Chocolat at Bangsar Street during morning, forecast demand range is 4–35 units with median 22. Recommended prep is 25 units. Expected waste is about 6.8 units and expected stockout is about 2.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_034,2022-10-01,bangsar_street,Bangsar Street,street_cafe,traditional_baguette,Traditional Baguette,Bread,evening,24,65,97,70,above_p50_service_protection,33.775,14.0,6.75,0.0,18.375000000000007,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,recent_waste_pressure,high_uncertainty","For Traditional Baguette at Bangsar Street during evening, forecast demand range is 24–97 units with median 65. Recommended prep is 70 units. Expected waste is about 14.0 units and expected stockout is about 6.8 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_035,2022-10-01,bangsar_street,Bangsar Street,street_cafe,traditional_baguette,Traditional Baguette,Bread,midday,66,102,141,100,below_p50_cost_control,35.52499999999999,8.5,11.25,1.7500000000000142,30.625000000000014,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,high_uncertainty","For Traditional Baguette at Bangsar Street during midday, forecast demand range is 66–141 units with median 102. Recommended prep is 100 units. Expected waste is about 8.5 units and expected stockout is about 11.2 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_036,2022-10-01,bangsar_street,Bangsar Street,street_cafe,traditional_baguette,Traditional Baguette,Bread,morning,43,70,109,70,near_p50_balanced,29.924999999999997,6.75,9.75,0.0,21.875000000000007,light_rain,3.4,28.2,"weekend_pattern,high_uncertainty","For Traditional Baguette at Bangsar Street during morning, forecast demand range is 43–109 units with median 70. Recommended prep is 70 units. Expected waste is about 6.8 units and expected stockout is about 9.8 units. The optimizer recommends staying close to the median forecast because the waste and stockout tradeoff is balanced.",lightgbm_p50_v1,tweedie_count
fcst_037,2022-10-01,klcc_mall,KLCC Mall,mall_office,blueberry_muffin,Blueberry Muffin,Dessert,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,"weekend_pattern,recent_stockout_pressure","For Blueberry Muffin at KLCC Mall during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_038,2022-10-01,klcc_mall,KLCC Mall,mall_office,blueberry_muffin,Blueberry Muffin,Dessert,midday,0,1,2,6,high_service_p90_prep,15.0,5.0,0.0,0.0,0.0,light_rain,4.7,30.0,"weekend_pattern,recent_stockout_pressure","For Blueberry Muffin at KLCC Mall during midday, forecast demand range is 0–2 units with median 1. Recommended prep is 6 units. Expected waste is about 5.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_039,2022-10-01,klcc_mall,KLCC Mall,mall_office,blueberry_muffin,Blueberry Muffin,Dessert,morning,2,4,8,6,above_p50_service_protection,8.25,2.0,0.5,0.0,14.25,light_rain,4.7,30.0,weekend_pattern,"For Blueberry Muffin at KLCC Mall during morning, forecast demand range is 2–8 units with median 4. Recommended prep is 6 units. Expected waste is about 2.0 units and expected stockout is about 0.5 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_040,2022-10-01,klcc_mall,KLCC Mall,mall_office,brioche,Brioche,Pastry,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,weekend_pattern,"For Brioche at KLCC Mall during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_041,2022-10-01,klcc_mall,KLCC Mall,mall_office,brioche,Brioche,Pastry,midday,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,weekend_pattern,"For Brioche at KLCC Mall during midday, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_042,2022-10-01,klcc_mall,KLCC Mall,mall_office,brioche,Brioche,Pastry,morning,1,2,6,6,high_service_p90_prep,9.100000000000001,3.25,0.0,0.0,0.0,light_rain,4.7,30.0,"weekend_pattern,manager_event_note","For Brioche at KLCC Mall during morning, forecast demand range is 1–6 units with median 2. Recommended prep is 6 units. Expected waste is about 3.2 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_043,2022-10-01,klcc_mall,KLCC Mall,mall_office,brownie,Brownie,Dessert,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,weekend_pattern,"For Brownie at KLCC Mall during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_044,2022-10-01,klcc_mall,KLCC Mall,mall_office,brownie,Brownie,Dessert,midday,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,weekend_pattern,"For Brownie at KLCC Mall during midday, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_045,2022-10-01,klcc_mall,KLCC Mall,mall_office,brownie,Brownie,Dessert,morning,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,4.7,30.0,weekend_pattern,"For Brownie at KLCC Mall during morning, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_046,2022-10-01,klcc_mall,KLCC Mall,mall_office,butter_croissant,Butter Croissant,Pastry,evening,2,3,8,10,high_service_p90_prep,20.400000000000002,6.0,0.0,0.0,0.0,light_rain,4.7,30.0,"weekend_pattern,recent_waste_pressure","For Butter Croissant at KLCC Mall during evening, forecast demand range is 2–8 units with median 3. Recommended prep is 10 units. Expected waste is about 6.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_047,2022-10-01,klcc_mall,KLCC Mall,mall_office,butter_croissant,Butter Croissant,Pastry,midday,2,7,15,10,above_p50_service_protection,18.275000000000002,3.5,1.25,0.0,6.375,light_rain,4.7,30.0,"weekend_pattern,recent_waste_pressure,high_uncertainty","For Butter Croissant at KLCC Mall during midday, forecast demand range is 2–15 units with median 7. Recommended prep is 10 units. Expected waste is about 3.5 units and expected stockout is about 1.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_048,2022-10-01,klcc_mall,KLCC Mall,mall_office,butter_croissant,Butter Croissant,Pastry,morning,22,61,94,60,below_p50_cost_control,78.19999999999999,9.5,9.0,2.125000000000014,42.500000000000014,light_rain,4.7,30.0,"weekend_pattern,manager_event_note,recent_waste_pressure,high_uncertainty","For Butter Croissant at KLCC Mall during morning, forecast demand range is 22–94 units with median 61. Recommended prep is 60 units. Expected waste is about 9.5 units and expected stockout is about 9.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_049,2022-10-01,klcc_mall,KLCC Mall,mall_office,cake_slice,Cake Slice,Dessert,evening,1,1,5,4,above_p50_service_protection,11.025,2.25,0.25,0.0,14.175000000000002,light_rain,4.7,30.0,weekend_pattern,"For Cake Slice at KLCC Mall during evening, forecast demand range is 1–5 units with median 1. Recommended prep is 4 units. Expected waste is about 2.2 units and expected stockout is about 0.2 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_050,2022-10-01,klcc_mall,KLCC Mall,mall_office,cake_slice,Cake Slice,Dessert,midday,0,8,11,8,near_p50_balanced,13.125,2.0,0.75,0.0,8.925,light_rain,4.7,30.0,"weekend_pattern,recent_stockout_pressure,high_uncertainty","For Cake Slice at KLCC Mall during midday, forecast demand range is 0–11 units with median 8. Recommended prep is 8 units. Expected waste is about 2.0 units and expected stockout is about 0.8 units. The optimizer recommends staying close to the median forecast because the waste and stockout tradeoff is balanced.",lightgbm_p50_v1,tweedie_count
